ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_sl-SI
DataSchema	InsuredObjectMotorQuoteSubtype	enum	insuredObjectMotorQuoteSubtype@vehicleCar	vehicleCar	Personal Car	Osebni avtomobil
DataSchema	InsuredObjectMotorQuoteSubtype	enum	insuredObjectMotorQuoteSubtype@vehicleTruck	vehicleTruck	Truck	Tovorno vozilo
DataSchema	InsuredObjectMotorQuoteSubtype	enum	insuredObjectMotorQuoteSubtype@vehicleBus	vehicleBus	Bus	Avtobus
DataSchema	InsuredObjectMotorQuoteSubtype	enum	insuredObjectMotorQuoteSubtype@vehicleTractor	vehicleTractor	Tractor	Traktor
DataSchema	InsuredObjectMotorQuoteSubtype	enum	insuredObjectMotorQuoteSubtype@vehicleSpecialMotorVehicle	vehicleSpecialMotorVehicle	Special motor vehicle	Specialno motorno vozilo
DataSchema	InsuredObjectMotorQuoteSubtype	enum	insuredObjectMotorQuoteSubtype@vehicleMotorcycle	vehicleMotorcycle	Motorcycle	Motorno kolo
DataSchema	InsuredObjectMotorQuoteSubtype	enum	insuredObjectMotorQuoteSubtype@vehicleTrailerVehicles	vehicleTrailerVehicles	Trailer vehicles	Priklopna vozila
DataSchema	InsuredObjectMotorQuoteSubtype	enum	insuredObjectMotorQuoteSubtype@vehicleWorkAndSpecialVehicles	vehicleWorkAndSpecialVehicles	Work and special vehicles	Delovna vozila in delovni stroji ter posebna motorna vozila
DataSchema	InsuredObjectMotorQuoteSubtype	enum	insuredObjectMotorQuoteSubtype@workshop	workshop	Workshop	Avtomehanične delavnice/avtopralnice
